Comments,OrigFullComment,Type,Class,Year,Quarter,NewCleanComment,OriginalC,Topics,SubTopics,Sentiment
great at engaging students and making them think critically.,"Great at engaging students and making them think critically. I think that more professors should adopt his teaching style. BUT the key is not make students feel like you are not unapproachable, which is something that this professor does very well. I feel like if I wanted to I would be able to talk to him.",Strength,M116L,2019,Spring,"great at engaging students and making them think critically. i think that more professors should adopt his teaching style. but the key is not make students feel like you are not unapproachable, which is something that this professor does very well. i feel like if i wanted to i would be able to talk to him.",great at engaging students and making them think critically.,critically_encourage_critical,encourage_critically_instructor,positive
he challenges the students to really think critically and for themselves.,He challenges the students to really think critically and for themselves.,Strength,M116L,2019,Spring,he challenges the students to really think critically and for themselves.,he challenges the students to really think critically and for themselves.,critically_encourage_critical,critically_allow_challenge,neutral
he highly encourages students to think critically rather than memorize facts.,He highly encourages students to think critically rather than memorize facts.,Strength,M116L,2019,Spring,he highly encourages students to think critically rather than memorize facts.,he highly encourages students to think critically rather than memorize facts.,critically_encourage_critical,encourage_critically_instructor,positive
"helps with critical thinking, provokes thought, intellectually stimulating","Helps with critical thinking, provokes thought, intellectually stimulating",Strength,M116L,2019,Spring,"helps with critical thinking, provokes thought, intellectually stimulating","helps with critical thinking, provokes thought, intellectually stimulating",critically_encourage_critical,encourage_critically_instructor,positive
makes you critically think,makes you critically think,Strength,M116L,2019,Spring,makes you critically think,makes you critically think,critically_encourage_critical,critically_allow_challenge,neutral
Prof encourages the students to think critically about the class material.,Prof encourages the students to think critically about the class material. He explains concepts fairly well and pushes students to be involved in the class.,Strength,M116L,2019,Spring,Prof encourages the students to think critically about the class material. he explains concepts fairly well and pushes students to be involved in the class.,Prof encourages the students to think critically about the class material.,critically_encourage_critical,encourage_critically_instructor,neutral
the instructor is knowledgeable and stimulates critical thinking in class.,The instructor is knowledgeable and stimulates critical thinking in class.,Strength,M116L,2019,Spring,the instructor is knowledgeable and stimulates critical thinking in class.,the instructor is knowledgeable and stimulates critical thinking in class.,critically_encourage_critical,encourage_critically_instructor,positive
the instructor really encourages and challenges the students to think scientifically and independently.,The instructor really encourages and challenges the students to think scientifically and independently.,Strength,M116L,2019,Spring,the instructor really encourages and challenges the students to think scientifically and independently.,the instructor really encourages and challenges the students to think scientifically and independently.,critically_encourage_critical,encourage_critically_instructor,positive
it allowed me to interact with people i've never met before through remote learning.,"Molecular biology is usually a tough subject for most students, but I've learned quite a lot, thanks to Prof. He made the class applicable and built the whole quarter around SARS-CoV-2. I really like how he made the lab an interactive group-based learning. It allowed me to interact with people I've never met before through remote learning. I enjoyed his weekly lectures, and I especially liked how he made use of our time by turning it into active learning.",Strength,M116L,2020,Fall,"molecular biology is usually a tough subject for most students, but i've learned quite a lot, thanks to Prof. he made the class applicable and built the whole quarter around sars-cov-two. i really like how he made the lab an interactive group-based learning. it allowed me to interact with people i've never met before through remote learning. i enjoyed his weekly lectures, and i especially liked how he made use of our time by turning it into active learning.",it allowed me to interact with people i've never met before through remote learning.,learn_teach_course,learn_teach_community,positive
"even though he teaches so many people in this class, he remembers lots of students' names and conversation he had with them.","He's great at guiding you so you can think independently. He doesn't tell you the answers. But he is so good at explaining things that you will be able to solve the question by yourself. Even though he teaches so many people in this class, he remembers lots of students' names and conversation he had with them. He actually teaches you. Not just tell you something and shove the knowledge into our head. I wish I can take all the classes he teaches.",Strength,M116L,2020,Fall,"he's great at guiding you so you can think independently. he doesn't tell you the answers. but he is so good at explaining things that you will be able to solve the question by yourself. even though he teaches so many people in this class, he remembers lots of students' names and conversation he had with them. he actually teaches you. not just tell you something and shove the knowledge into our head. i wish i can take all the classes he teaches.","even though he teaches so many people in this class, he remembers lots of students' names and conversation he had with them. he actually teaches you.",learn_teach_course,learn_teach_community,positive
he actually teaches you.,"He's great at guiding you so you can think independently. He doesn't tell you the answers. But he is so good at explaining things that you will be able to solve the question by yourself. Even though he teaches so many people in this class, he remembers lots of students' names and conversation he had with them. He actually teaches you. Not just tell you something and shove the knowledge into our head. I wish I can take all the classes he teaches.",Strength,M116L,2020,Fall,"he's great at guiding you so you can think independently. he doesn't tell you the answers. but he is so good at explaining things that you will be able to solve the question by yourself. even though he teaches so many people in this class, he remembers lots of students' names and conversation he had with them. he actually teaches you. not just tell you something and shove the knowledge into our head. i wish i can take all the classes he teaches.","even though he teaches so many people in this class, he remembers lots of students' names and conversation he had with them. he actually teaches you.",learn_teach_course,learn_teach_community,neutral
i wish i can take all the classes he teaches.,"He's great at guiding you so you can think independently. He doesn't tell you the answers. But he is so good at explaining things that you will be able to solve the question by yourself. Even though he teaches so many people in this class, he remembers lots of students' names and conversation he had with them. He actually teaches you. Not just tell you something and shove the knowledge into our head. I wish I can take all the classes he teaches.",Strength,M116L,2020,Fall,"he's great at guiding you so you can think independently. he doesn't tell you the answers. but he is so good at explaining things that you will be able to solve the question by yourself. even though he teaches so many people in this class, he remembers lots of students' names and conversation he had with them. he actually teaches you. not just tell you something and shove the knowledge into our head. i wish i can take all the classes he teaches.",i wish i can take all the classes he teaches.,learn_teach_course,learn_teach_community,neutral
although it is an uphill struggle he teaches you how to think your way through the material and really apply it so that you really learn and get invested in it.,Dr. K always has this ability to push my thinking far beyond what I think I am capable of which I appreciate more than I can explain. Although it is an uphill struggle he teaches you how to think your way through the material and really apply it so that you really learn and get invested in it.,Strength,M116L,2020,Fall,Prof always has this ability to push my thinking far beyond what i think i am capable of which i appreciate more than i can explain. although it is an uphill struggle he teaches you how to think your way through the material and really apply it so that you really learn and get invested in it.,although it is an uphill struggle he teaches you how to think your way through the material and really apply it so that you really learn and get invested in it.,learn_teach_course,learn_teach_community,positive
he is very understanding.,"He is honestly an inspirational professor. He reaches well, is kind to his students, does his best to make entertaining, and provides us many opportunities to interact with our group mates. He is very understanding. There arent any flaws that I could think of.",Strength,M116L,2020,Fall,"he is honestly an inspirational professor. he reaches well, is kind to his students, does his best to make entertaining, and provides us many opportunities to interact with our group mates. he is very understanding. there arent any flaws that i could think of.",he is very understanding.,learn_teach_course,learn_teach_community,positive
managed the class in a way to help us actually learn and practice.,Managed the class in a way to help us actually learn and practice. Fair assignments that were minimal but important and covered main objective of the course.,Strength,M116L,2020,Fall,managed the class in a way to help us actually learn and practice. fair assignments that were minimal but important and covered main objective of the course.,managed the class in a way to help us actually learn and practice.,learn_teach_course,learn_teach_community,neutral
very helpful in trying to get the students stimulated in learning something very complicated and intricate.,Very helpful in trying to get the students stimulated in learning something very complicated and intricate.,Strength,M116L,2020,Fall,very helpful in trying to get the students stimulated in learning something very complicated and intricate.,very helpful in trying to get the students stimulated in learning something very complicated and intricate.,learn_teach_course,learn_teach_community,positive
handles remote learning well.,"Handles remote learning well. Dr. K knows how to use technology well, this makes the class flow easier.",Strength,M116L,2020,Fall,"handles remote learning well. Prof knows how to use technology well, this makes the class flow easier.",handles remote learning well.,learn_teach_course,learn_teach_community,positive
interactive learning.,interactive learning. Understanding to changing situations of students. Lectures are easy to follow.,Strength,M116L,2020,Fall,interactive learning. understanding to changing situations of students. lectures are easy to follow.,interactive learning.,learn_teach_course,learn_teach_community,neutral
understanding to changing situations of students.,interactive learning. Understanding to changing situations of students. Lectures are easy to follow.,Strength,M116L,2020,Fall,interactive learning. understanding to changing situations of students. lectures are easy to follow.,understanding to changing situations of students.,learn_teach_course,learn_teach_community,neutral
Prof. really wants the student to learn and explore knowledge that is new.,Prof. really wants the student to learn and explore knowledge that is new.,Strength,M116L,2020,Fall,Prof. really wants the student to learn and explore knowledge that is new.,Prof. really wants the student to learn and explore knowledge that is new.,learn_teach_course,learn_teach_community,positive
he needs to teach other professors on how to teach students.,Dr.K is amazing. And other professors need to be like him. He needs to teach other professors on how to TEACH students.,Improvement,M116L,2020,Fall,Prof is amazing. and other professors need to be like him. he needs to teach other professors on how to teach students.,he needs to teach other professors on how to teach students.,learn_teach_course,learn_teach_community,neutral
it is really difficult.,"It is really difficult. But you learn so much. What you learned from this class can actually benefit for your future career. As bio major students, we often experience the toxic 'weed out the weak' mentality. Everyone is out there for their own. No one like sharing knowledge. Because people want other people to do worse in class so their grade can be better. But Dr.K's class always allows ALL the students to engage with each other. Someone gives this man's a raise please.",Other Comments,M116L,2020,Fall,"it is really difficult. but you learn so much. what you learned from this class can actually benefit for your future career. as bio major students, we often experience the toxic 'weed out the weak' mentality. everyone is out there for their own. no one like sharing knowledge. because people want other people to do worse in class so their grade can be better. but Prof's class always allows all the students to engage with each other. someone gives this man's a raise please.",it is really difficult.,learn_teach_course,learn_teach_community,negative
but you learn so much.,"It is really difficult. But you learn so much. What you learned from this class can actually benefit for your future career. As bio major students, we often experience the toxic 'weed out the weak' mentality. Everyone is out there for their own. No one like sharing knowledge. Because people want other people to do worse in class so their grade can be better. But Dr.K's class always allows ALL the students to engage with each other. Someone gives this man's a raise please.",Other Comments,M116L,2020,Fall,"it is really difficult. but you learn so much. what you learned from this class can actually benefit for your future career. as bio major students, we often experience the toxic 'weed out the weak' mentality. everyone is out there for their own. no one like sharing knowledge. because people want other people to do worse in class so their grade can be better. but Prof's class always allows all the students to engage with each other. someone gives this man's a raise please.",but you learn so much.,learn_teach_course,learn_teach_community,positive
what you learned from this class can actually benefit for your future career.,"It is really difficult. But you learn so much. What you learned from this class can actually benefit for your future career. As bio major students, we often experience the toxic 'weed out the weak' mentality. Everyone is out there for their own. No one like sharing knowledge. Because people want other people to do worse in class so their grade can be better. But Dr.K's class always allows ALL the students to engage with each other. Someone gives this man's a raise please.",Other Comments,M116L,2020,Fall,"it is really difficult. but you learn so much. what you learned from this class can actually benefit for your future career. as bio major students, we often experience the toxic 'weed out the weak' mentality. everyone is out there for their own. no one like sharing knowledge. because people want other people to do worse in class so their grade can be better. but Prof's class always allows all the students to engage with each other. someone gives this man's a raise please.",what you learned from this class can actually benefit for your future career.,learn_teach_course,learn_teach_community,positive
"shouldn't take the teaching method of expecting students to know and figure out things themselves, yes students should learn to use programs and such but a little guidance doesn't hurt and not adopting a hands-off teaching method.","Shouldn't take the teaching method of expecting students to know and figure out things themselves, yes students should learn to use programs and such but a little guidance doesn't hurt and not adopting a hands-off teaching method.",Other Comments,M116L,2020,Fall,"shouldn't take the teaching method of expecting students to know and figure out things themselves, yes students should learn to use programs and such but a little guidance doesn't hurt and not adopting a hands-off teaching method.","shouldn't take the teaching method of expecting students to know and figure out things themselves, yes students should learn to use programs and such but a little guidance doesn't hurt and not adopting a hands-off teaching method.",learn_teach_course,learn_teach_community,neutral
learned a lot.,Very enjoyable. Learned a lot.,Other Comments,M116L,2020,Fall,very enjoyable. learned a lot.,learned a lot.,learn_teach_course,learn_teach_community,neutral
"i know that we will learn the information if we question it, but sometimes, you really need to give us more guidance.","I know that we will learn the information if we question it, but sometimes, you REALLY need to give us more guidance. We can't just pull out resources if we don't know where to begin in learning the material.",Improvement,M116L,2021,Spring,"i know that we will learn the information if we question it, but sometimes, you really need to give us more guidance. we can't just pull out resources if we don't know where to begin in learning the material.","i know that we will learn the information if we question it, but sometimes, you really need to give us more guidance.",learn_teach_course,learn_teach_community,neutral
we can't just pull out resources if we don't know where to begin in learning the material.,"I know that we will learn the information if we question it, but sometimes, you REALLY need to give us more guidance. We can't just pull out resources if we don't know where to begin in learning the material.",Improvement,M116L,2021,Spring,"i know that we will learn the information if we question it, but sometimes, you really need to give us more guidance. we can't just pull out resources if we don't know where to begin in learning the material.",we can't just pull out resources if we don't know where to begin in learning the material.,learn_teach_course,learn_teach_community,negative
please choose your staff more wisely.,"My TA and LA were unresponsive, unavailable, and did not offer my group any support. Our assignments were graded very late so we could never obtain feedback and improve for the next assignment. Whenever we did ask for help, we were met with condescending and snarky comments by the LA. Please choose your staff more wisely.",Other Comments,M116L,2021,Spring,"my ta and la were unresponsive, unavailable, and did not offer my group any support. our assignments were graded very late so we could never obtain feedback and improve for the next assignment. whenever we did ask for help, we were met with condescending and snarky comments by the la. please choose your staff more wisely.",please choose your staff more wisely.,learn_teach_course,learn_teach_community,neutral
those learning communities are so good and helpful.,"Prof really cares about teaching his students something they can carry with them throughout the rest of their academic careers. I really liked how he let us work in groups before every quiz or exam. Those learning communities are SO GOOD and helpful. Not only did it help me understand what we were studying, but it also taught me how others tackle problems -- there's more than one way to think about something and all those minds coming together to figure out a problem really is amazing. I also love how the professor takes the time to talk over coffee. It gave me a safe space to talk about my stresses and Dr. K helped me learn how to see things in a different light, which helped lower my stress levels. I'm so grateful for that.",Strength,M116L,2022,Spring,"Prof really cares about teaching his students something they can carry with them throughout the rest of their academic careers. i really liked how he let us work in groups before every quiz or exam. those learning communities are so good and helpful. not only did it help me understand what we were studying, but it also taught me how others tackle problems -- there's more than one way to think about something and all those minds coming together to figure out a problem really is amazing. i also love how the professor takes the time to talk over coffee. it gave me a safe space to talk about my stresses and Prof helped me learn how to see things in a different light, which helped lower my stress levels. i'm so grateful for that.",those learning communities are so good and helpful.,learn_teach_course,learn_teach_community,positive
he tries new approaches to make the class a better learning environment for students.,He is engaging and wants to communicate with the students. He tries new approaches to make the class a better learning environment for students.,Strength,M116L,2022,Spring,he is engaging and wants to communicate with the students. he tries new approaches to make the class a better learning environment for students.,he tries new approaches to make the class a better learning environment for students.,learn_teach_course,learn_teach_community,positive
"the class has a lot of active learning elements, not just listening to a lecture.","Encourages us to think rather than just memorize. The class has a lot of active learning elements, not just listening to a lecture.",Strength,M116L,2022,Spring,"encourages us to think rather than just memorize. the class has a lot of active learning elements, not just listening to a lecture.","the class has a lot of active learning elements, not just listening to a lecture.",learn_teach_course,learn_teach_community,positive
wants students to learn from their mistakes.,Knowledgeable and pushes students to work hard and endure. Wants students to learn from their mistakes.,Strength,M116L,2022,Spring,knowledgeable and pushes students to work hard and endure. wants students to learn from their mistakes.,wants students to learn from their mistakes.,learn_teach_course,learn_teach_community,neutral
learning communities are a great method to improve learning,Learning communities are a great method to improve learning,Strength,M116L,2022,Spring,learning communities are a great method to improve learning,learning communities are a great method to improve learning,learn_teach_course,learn_teach_community,positive
i'm wondering how this course strategy is intended to help students learn.,"It would be beneficial if the methods and procedures required for the lab course were explained before the tests and quizzes since exams are defined as testing what was taught by the professor's course rather than what the student learned on their own. We are taking a course at UCI to learn from the professor, not to teach ourselves the topic, and after the quizzes and assessments, we learn from the professor how he would have solved the question. I'm wondering how this course strategy is intended to help students learn. I believe changing this strategy will benefit the students and the professor. If this strategy changed, I think the professor will not make another mistake (answering a complete question incorrectly) even though the professor has a Ph.D. We learned from previous courses that answering questions correctly requires that the individual understands the topic well enough to explain it to another person. I think since there is no explanation happening in the course, this mistake has happened, and I am sure it will reoccur if this strategy is kept used in the upcoming years. Therefore, I suggest that maybe the professor consider presenting the material before the quizzes to give himself and his students time to understand the questions.",Improvement,M116L,2022,Spring,"it would be beneficial if the methods and procedures required for the lab course were explained before the tests and quizzes since exams are defined as testing what was taught by the professor's course rather than what the student learned on their own. we are taking a course at uci to learn from the professor, not to teach ourselves the topic, and after the quizzes and assessments, we learn from the professor how he would have solved the question. i'm wondering how this course strategy is intended to help students learn. i believe changing this strategy will benefit the students and the professor. if this strategy changed, i think the professor will not make another mistake even though the professor has a ph.d. we learned from previous courses that answering questions correctly requires that the individual understands the topic well enough to explain it to another person. i think since there is no explanation happening in the course, this mistake has happened, and i am sure it will reoccur if this strategy is kept used in the upcoming years. therefore, i suggest that maybe the professor consider presenting the material before the quizzes to give himself and his students time to understand the questions.",i'm wondering how this course strategy is intended to help students learn.,learn_teach_course,learn_teach_community,neutral
"i wish he gave students more choice for how they want the learning experience to be, rather than assigning us into a system that confuses us and distracts us from learning.","I wish he gave students more choice for how they want the learning experience to be, rather than assigning us into a system that confuses us and distracts us from learning. The learning community didn't work out for me, as I felt it was limiting some students from learning further, as they were not assigned to learning community in the beginning of the quarter. It was Other Commentsly a confusing system for many students and this class was harder to participate and perform good in, due to confusion that discouraged us from feeling more engaged in learning/forming our own study partners to perform well.",Improvement,M116L,2022,Spring,"i wish he gave students more choice for how they want the learning experience to be, rather than assigning us into a system that confuses us and distracts us from learning. the learning community didn't work out for me, as i felt it was limiting some students from learning further, as they were not assigned to learning community in the beginning of the quarter. it was Other Commentsly a confusing system for many students and this class was harder to participate and perform good in, due to confusion that discouraged us from feeling more engaged in learning/forming our own study partners to perform well.","i wish he gave students more choice for how they want the learning experience to be, rather than assigning us into a system that confuses us and distracts us from learning.",learn_teach_course,learn_teach_community,negative
"the learning community didn't work out for me, as i felt it was limiting some students from learning further, as they were not assigned to learning community in the beginning of the quarter.","I wish he gave students more choice for how they want the learning experience to be, rather than assigning us into a system that confuses us and distracts us from learning. The learning community didn't work out for me, as I felt it was limiting some students from learning further, as they were not assigned to learning community in the beginning of the quarter. It was Other Commentsly a confusing system for many students and this class was harder to participate and perform good in, due to confusion that discouraged us from feeling more engaged in learning/forming our own study partners to perform well.",Improvement,M116L,2022,Spring,"i wish he gave students more choice for how they want the learning experience to be, rather than assigning us into a system that confuses us and distracts us from learning. the learning community didn't work out for me, as i felt it was limiting some students from learning further, as they were not assigned to learning community in the beginning of the quarter. it was Other Commentsly a confusing system for many students and this class was harder to participate and perform good in, due to confusion that discouraged us from feeling more engaged in learning/forming our own study partners to perform well.","the learning community didn't work out for me, as i felt it was limiting some students from learning further, as they were not assigned to learning community in the beginning of the quarter.",learn_teach_course,learn_teach_community,negative
stop using learning communities because it feels unfair sometimes.,"Stop using learning communities because it feels unfair sometimes. I was put into a group where no one was speaking up until Week 9. I was the only one texting in our group chat and trying to get everyone to collaborate. If everyone in the class was on the same playing field and worked independently, that would be much appreciated",Improvement,M116L,2022,Spring,"stop using learning communities because it feels unfair sometimes. i was put into a group where no one was speaking up until week nine. i was the only one texting in our group chat and trying to get everyone to collaborate. if everyone in the class was on the same playing field and worked independently, that would be much appreciated",stop using learning communities because it feels unfair sometimes.,learn_teach_course,learn_teach_community,negative
teach.,The quizzes were a violation - super tough for no reason. Teach.,Improvement,M116L,2022,Spring,the quizzes were a violation - super tough for no reason. teach.,teach.,learn_teach_course,learn_teach_community,neutral
the instructor can steer away from tricks since i do not think this helps learning.,"The instructor can steer away from ""tricks"" since I do not think this helps learning.",Improvement,M116L,2022,Spring,the instructor can steer away from tricks since i do not think this helps learning.,the instructor can steer away from tricks since i do not think this helps learning.,learn_teach_course,learn_teach_community,negative
be more understanding?,Be more understanding? I don't really have words to describe it.,Improvement,M116L,2022,Spring,be more understanding? i don't really have words to describe it.,be more understanding?,learn_teach_course,learn_teach_community,neutral
can carry on experiments in a teaching grounds and unafraid to make mistakes and admit to them.,Best at understanding problems and explaining them in the simplest terms to students. Able to deliver effective teaching mechanisms and critical thinking. Creates a tremendously interactive environment. Can carry on experiments in a teaching grounds and unafraid to make mistakes and admit to them. Earn huge respects and appreciation from students.,Strength,M116L,2019,Spring,best at understanding problems and explaining them in the simplest terms to students. able to deliver effective teaching mechanisms and critical thinking. creates a tremendously interactive environment. can carry on experiments in a teaching grounds and unafraid to make mistakes and admit to them. earn huge respects and appreciation from students.,can carry on experiments in a teaching grounds and unafraid to make mistakes and admit to them.,learn_teach_course,learn_teach_community,neutral
he is so passionate about teaching and you can tell that he enjoys teaching and he isn’t just doing it because the university is forcing him to.,"Dr. Prof is one of the best professors that I have had at UCI. He is so passionate about teaching and you can tell that he enjoys teaching and he isn’t just doing it because the university is forcing him to. He aims to ensure that all students truly understand the material and they aren’t simply memorizing it. He’s incredibly accessible and makes it clear from the start that he is there to help us be successful in not only his class, but also college and life in Other Comments. When I was a second year, many upperclassmen scared me out of taking Dr. K’s Biochemistry class because he was hard and had really high expectations but I really regret not taking him for that class now. I hope to stay in touch with Dr. K in the future because he seems to be an amazing mentor, and I feel like there is a lot I can learn from him in terms of how to be successful in college and how to develop a career in STEM. I also really liked the group setting that he encouraged us to work in because I feel like it really improved my understanding of the material.",Strength,M116L,2019,Spring,"Doctor Prof is one of the best professors that i have had at uci. he is so passionate about teaching and you can tell that he enjoys teaching and he isn’t just doing it because the university is forcing him to. he aims to ensure that all students truly understand the material and they aren’t simply memorizing it. he’s incredibly accessible and makes it clear from the start that he is there to help us be successful in not only his class, but also college and life in Other Comments. when i was a second year, many upperclassmen scared me out of taking Prof’s biochemistry class because he was hard and had really high expectations but i really regret not taking him for that class now. i hope to stay in touch with Prof in the future because he seems to be an amazing mentor, and i feel like there is a lot i can learn from him in terms of how to be successful in college and how to develop a career in stem. i also really liked the group setting that he encouraged us to work in because i feel like it really improved my understanding of the material.",Doctor Prof is one of the best professors that i have had at uci. he is so passionate about teaching and you can tell that he enjoys teaching and he isn’t just doing it because the university is forcing him to. he aims to ensure that all students truly understand the material and they aren’t simply memorizing it.,learn_teach_course,learn_teach_community,positive
he genuinely cares about students and their learning and tries to understand their questions.,"Great at explaining concepts, taking things one step at a time. He genuinely cares about students and their learning and tries to understand their questions.",Strength,M116L,2019,Spring,"great at explaining concepts, taking things one step at a time. he genuinely cares about students and their learning and tries to understand their questions.","great at explaining concepts, taking things one step at a time. he genuinely cares about students and their learning and tries to understand their questions.",learn_teach_course,learn_teach_community,positive
"i’ve found that a lot of teaching professors pick on students, and i think it’s not conducive to a good learning environment.","I really like that he doesn’t pick on students. He lets people raise their hands. I’ve found that a lot of teaching professors pick on students, and I think it’s not conducive to a good learning environment.",Strength,M116L,2019,Spring,"i really like that he doesn’t pick on students. he lets people raise their hands. i’ve found that a lot of teaching professors pick on students, and i think it’s not conducive to a good learning environment.","i’ve found that a lot of teaching professors pick on students, and i think it’s not conducive to a good learning environment.",learn_teach_course,learn_teach_community,negative
it meant that i was learning.,"Overall, the instructor’s teaching strengths is in the frustrations I felt in every single lecture I attend to. Now why would I consider this a strength? The frustration I felt with the difficult weekly quizzes and exams meant that I was learning. His questions made me improve my critical thinking skills every week. As stressful as it was, it was also equally exciting and challenging to see my thought process changing week by week. I failed almost every quiz, but I finally passed on the last one and improved on the final (conclusions only based on standard scaling and not on class average). It meant that I was learning. And, that is what I value the most out of this class. If I ever become successful in the future, I will have to thank you for that since you pushed me beyond the current limits of my critical thinking skills.",Strength,M116L,2019,Spring,"overall, the instructor’s teaching strengths is in the frustrations i felt in every single lecture i attend to. now why would i consider this a strength? the frustration i felt with the difficult weekly quizzes and exams meant that i was learning. his questions made me improve my critical thinking skills every week. as stressful as it was, it was also equally exciting and challenging to see my thought process changing week by week. i failed almost every quiz, but i finally passed on the last one and improved on the final . it meant that i was learning. and, that is what i value the most out of this class. if i ever become successful in the future, i will have to thank you for that since you pushed me beyond the current limits of my critical thinking skills.","i failed almost every quiz, but i finally passed on the last one and improved on the final . it meant that i was learning.",learn_teach_course,learn_teach_community,neutral
Prof wants his students to learn.,Prof wants his students to learn. He is not satisfied until he answers student’s questions. His passion in teaching student is shown.,Strength,M116L,2019,Spring,Prof wants his students to learn. he is not satisfied until he answers student’s questions. his passion in teaching student is shown.,Prof wants his students to learn. he is not satisfied until he answers student’s questions.,learn_teach_course,learn_teach_community,neutral
his passion in teaching student is shown.,Prof wants his students to learn. He is not satisfied until he answers student’s questions. His passion in teaching student is shown.,Strength,M116L,2019,Spring,Prof wants his students to learn. he is not satisfied until he answers student’s questions. his passion in teaching student is shown.,his passion in teaching student is shown.,learn_teach_course,learn_teach_community,positive
this is a good way to learn.,The instructor strength is that he allows the student to think about the application rather giving us the answer directly. This is a good way to learn.,Strength,M116L,2019,Spring,the instructor strength is that he allows the student to think about the application rather giving us the answer directly. this is a good way to learn.,this is a good way to learn.,learn_teach_course,learn_teach_community,positive
the students can tell he’s passionate about what he’s teaching and that he wants us to learn.,The students can tell he’s passionate about what he’s teaching and that he wants us to learn.,Strength,M116L,2019,Spring,the students can tell he’s passionate about what he’s teaching and that he wants us to learn.,the students can tell he’s passionate about what he’s teaching and that he wants us to learn.,learn_teach_course,learn_teach_community,positive
"he can’t really admit when he is wrong, which is not conducive to a good learning environment.","He could be less rigid. He can’t really admit when he is wrong, which is not conducive to a good learning environment.",Improvement,M116L,2019,Spring,"he could be less rigid. he can’t really admit when he is wrong, which is not conducive to a good learning environment.","he can’t really admit when he is wrong, which is not conducive to a good learning environment.",learn_teach_course,learn_teach_community,negative
do you understand how unhealthy it is to have these unnecessary stressors in our lives just take “teach” us?,"I’m at a loss for words for the way this course is structured, and my personal opinion is that it needs to be re-evaluated from the ground up. I understand that what he is trying to do is to engage and test students’ critical thinking, but it’s almost like everything we do in this course is to catch us messing up and tricking us into getting the wrong answer so that we learn a lesson. Consider myself schooled. I should have avoided taking this course. We don’t all think the same way, and I think there are more productive ways of engaging students in this way. If it was just about getting students to think, it wouldn’t be all about scoring these points, but more so focused on the conversation that we have afterword. No matter how hard I studied for these quizzes, I failed every single one. Do you understand how unhealthy it is to have these unnecessary stressors in our lives just take “teach” us? At no point in this course did I have an idea of how well or poorly I was doing, and so for 10 weeks I just assumed that I was failing.",Improvement,M116L,2019,Spring,"i’m at a loss for words for the way this course is structured, and my personal opinion is that it needs to be re-evaluated from the ground up. i understand that what he is trying to do is to engage and test students’ critical thinking, but it’s almost like everything we do in this course is to catch us messing up and tricking us into getting the wrong answer so that we learn a lesson. consider myself schooled. i should have avoided taking this course. we don’t all think the same way, and i think there are more productive ways of engaging students in this way. if it was just about getting students to think, it wouldn’t be all about scoring these points, but more so focused on the conversation that we have afterword. no matter how hard i studied for these quizzes, i failed every single one. do you understand how unhealthy it is to have these unnecessary stressors in our lives just take “teach” us? at no point in this course did i have an idea of how well or poorly i was doing, and so for ten weeks i just assumed that i was failing.","do you understand how unhealthy it is to have these unnecessary stressors in our lives just take “teach” us? at no point in this course did i have an idea of how well or poorly i was doing, and so for ten weeks i just assumed that i was failing.",learn_teach_course,learn_teach_community,negative
you are a grown professional.,This class needs to be flipped on its head. I’m not going to waste my time listing out all the ways you can improve because students have already voiced their concerns and you classify it as whining. Please work on your displays of anger. You are a grown professional.,Improvement,M116L,2019,Spring,this class needs to be flipped on its head. i’m not going to waste my time listing out all the ways you can improve because students have already voiced their concerns and you classify it as whining. please work on your displays of anger. you are a grown professional.,you are a grown professional.,learn_teach_course,grow,neutral
he was personable and seemed amiable with all students.,"He was personable and seemed amiable with all students. His course was also well-structured to encourage group work and collaboration, as well as providing many resources for students to get help and ask questions about the material.",Strength,M116L,2020,Fall,"he was personable and seemed amiable with all students. his course was also well-structured to encourage group work and collaboration, as well as providing many resources for students to get help and ask questions about the material.",he was personable and seemed amiable with all students.,workload_uci,,positive
fairness.,"Fairness. Specifically, how group work works. It feels nice that the students are allowed to work together in their assigned groups on the assignments that are presented throughout the course, but we must each turn in our assignment. However, if we say the same things, even accidentally, it's considered plagiarism and we get an F for the course. It feels really discouraging to be given the chance to work in a group but equally, run the risky chance of being penalized for it. As such, to avoid the risky chance, I decided to work alone during the assignments. To make it more fair, if the goal is to encourage group work, make assignments bound to that group, where one submission applies to everyone in that group and each student in that group would get the same grade for the assignment. This would encourage group work because everyone wants a good grade and will strive to achieve it, and it'll foster teamwork.",Improvement,M116L,2020,Fall,"fairness. specifically, how group work works. it feels nice that the students are allowed to work together in their assigned groups on the assignments that are presented throughout the course, but we must each turn in our assignment. however, if we say the same things, even accidentally, it's considered plagiarism and we get an f for the course. it feels really discouraging to be given the chance to work in a group but equally, run the risky chance of being penalized for it. as such, to avoid the risky chance, i decided to work alone during the assignments. to make it more fair, if the goal is to encourage group work, make assignments bound to that group, where one submission applies to everyone in that group and each student in that group would get the same grade for the assignment. this would encourage group work because everyone wants a good grade and will strive to achieve it, and it'll foster teamwork.",fairness.,workload_uci,,neutral
